doc_id,segment_index,segment_text,leaf_code,top_section
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
gisnauka_176,0,Методы математической кибернетики в задачах теории управляющих систем,00.77.00,00
